FID,LSOA21CD,LSOA21NM,LSOA21NMW,BNG_E,BNG_N,LAT,LONG,GlobalID,gva,lsoa_workers_at_workplace,ln_gva,ln_jobs,elasticity
14693,E01015471,Swindon 028A, ,413941,189671,51.60571,-1.80008,eff02724-439d-4850-868c-5ae102465473,16.064,14,2.7765807435093186,2.6390573296152584,0.3398313683166665
14694,E01015473,Swindon 008A, ,417931,190349,51.61169,-1.74243,cc586f3e-4cc1-4fad-94d2-d0b74b7e34ab,496.2600000000007,6086,6.207099982931871,8.713746330456916,0.7309468980605153
14695,E01015475,Swindon 015A, ,415626,185078,51.56437,-1.77595,400d8894-b684-40f9-8637-f827053d985c,100.69400000000003,259,4.612086215029821,5.556828061699537,0.6370809752978605
14696,E01015477,Swindon 015C, ,414389,184246,51.55692,-1.79383,6db22845-9c2e-42d9-b535-15b32cb39dc5,20.80600000000001,302,3.035241406648704,5.71042701737487,0.5998725881569741
14697,E01015478,Swindon 021A, ,413576,183987,51.55461,-1.80557,8296ca87-a043-4f97-8b78-742996726335,195.20900000000003,377,5.274070779473495,5.932245187448011,0.5718587575950806
14698,E01015479,Swindon 017A, ,416311,185375,51.56702,-1.76606,f697d894-6259-410b-b50a-60218b9fb96f,128.92399999999998,1703,4.859223083459394,7.440146680662688,0.7203675074073589
14699,E01015480,Swindon 015D, ,415446,185283,51.56621,-1.77854,5672aca5-f2d0-4444-be8d-c63ccf4f0606,14.183,108,2.6520440643124705,4.68213122712422,0.6610876462920017
14700,E01015481,Swindon 013A, ,418054,185672,51.56963,-1.7409,46a23f2b-793a-49dd-b80a-5aa677cf538d,16.851,119,2.8244100022184053,4.77912349311153,0.5062040392208748
14701,E01015482,Swindon 013B, ,418959,185003,51.56359,-1.72787,cbb63615-5024-4d59-9f3f-423d0c4b3fac,78.77199999999999,502,4.36655760376995,6.218600119691729,0.46163528982090085
14702,E01015483,Swindon 013C, ,418698,185467,51.56777,-1.73161,afb53a52-4302-469b-96af-ab3b9903015c,8.249999999999995,2,2.110213200346589,0.6931471805599453,0.4857455262538141
14703,E01015484,Swindon 013D, ,417979,185202,51.56541,-1.742,68448c55-afde-4ebd-9eee-be4c204cf837,78.77199999999999,99,4.36655760376995,4.59511985013459,0.4877105658232643
14704,E01015485,Swindon 013E, ,419247,184977,51.56335,-1.72372,e88b6d68-64b6-482b-b246-ae54f2511658,11.288999999999998,1,2.4238288002794097,0.0,0.4497827435556002
14705,E01015486,Swindon 013F, ,418376,185032,51.56387,-1.73628,e4a798bb-0815-4b03-bb58-14b79217297b,13.036000000000014,104,2.567714760975316,4.6443908991413725,0.4664276958844503
14706,E01015487,Swindon 023A, ,418175,183618,51.55116,-1.73926,67103372-8d39-4662-a7e4-c84532cb25d3,8.887,9,2.184589534756338,2.1972245773362196,0.4439195393088994
14707,E01015488,Swindon 023B, ,419035,183536,51.5504,-1.72686,e8c37165-0cab-4056-b753-5925019d44c1,58.559,1521,4.070034793004519,7.327123292259293,0.4367065251157321
14708,E01015489,Swindon 023C, ,418478,183162,51.54705,-1.73491,c502602b-ae5a-4b38-8dae-a1a871655ffc,16.488000000000003,202,2.802632843588158,5.308267697401205,0.43760967546820156
14709,E01015490,Swindon 023D, ,419112,182677,51.54267,-1.72579,d9c28ca7-6e6c-407c-ba8f-128adada12ec,6.126000000000004,7,1.812542008410584,1.9459101490553132,0.44276286347898636
